"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"4569598","Dylan Morris","Washington","Pac-12","passing","ATT","14"
"4569598","Dylan Morris","Washington","Pac-12","passing","PCT","0.643"
"4569598","Dylan Morris","Washington","Pac-12","passing","TD","1"
"4360423","Michael Penix Jr.","Washington","Pac-12","passing","YDS","4903"
"4360423","Michael Penix Jr.","Washington","Pac-12","passing","ATT","556"
"4685261","Germie Bernard","Washington","Pac-12","passing","INT","0"
"4360423","Michael Penix Jr.","Washington","Pac-12","passing","YPA","8.8"
"4689338","Dillon Johnson","Washington","Pac-12","passing","PCT","1.000"
"4685261","Germie Bernard","Washington","Pac-12","passing","ATT","1"
"4685261","Germie Bernard","Washington","Pac-12","passing","COMPLETIONS","1"
"4360423","Michael Penix Jr.","Washington","Pac-12","passing","INT","11"
"4689338","Dillon Johnson","Washington","Pac-12","passing","ATT","2"
"4430834","Jalen McMillan","Washington","Pac-12","passing","INT","0"
"4430834","Jalen McMillan","Washington","Pac-12","passing","YPA","4.5"
"4689338","Dillon Johnson","Washington","Pac-12","passing","COMPLETIONS","2"
"4689338","Dillon Johnson","Washington","Pac-12","passing","YDS","5"
"4689338","Dillon Johnson","Washington","Pac-12","passing","INT","0"
"4569598","Dylan Morris","Washington","Pac-12","passing","INT","1"
"4430834","Jalen McMillan","Washington","Pac-12","passing","COMPLETIONS","1"
"4685261","Germie Bernard","Washington","Pac-12","passing","PCT","1.000"
"4430834","Jalen McMillan","Washington","Pac-12","passing","YDS","9"
"4430834","Jalen McMillan","Washington","Pac-12","passing","TD","0"
"4360423","Michael Penix Jr.","Washington","Pac-12","passing","COMPLETIONS","363"
"4685261","Germie Bernard","Washington","Pac-12","passing","TD","0"
"4360423","Michael Penix Jr.","Washington","Pac-12","passing","TD","36"
"4685261","Germie Bernard","Washington","Pac-12","passing","YDS","14"
"4569598","Dylan Morris","Washington","Pac-12","passing","COMPLETIONS","9"
"4689338","Dillon Johnson","Washington","Pac-12","passing","TD","1"
"4430834","Jalen McMillan","Washington","Pac-12","passing","ATT","2"
"4689338","Dillon Johnson","Washington","Pac-12","passing","YPA","2.5"
"4685261","Germie Bernard","Washington","Pac-12","passing","YPA","14.0"
"4430834","Jalen McMillan","Washington","Pac-12","passing","PCT","0.500"
"4569598","Dylan Morris","Washington","Pac-12","passing","YDS","224"
"4569598","Dylan Morris","Washington","Pac-12","passing","YPA","16.0"
"4360423","Michael Penix Jr.","Washington","Pac-12","passing","PCT","0.653"
